Title,Authors,Subjects,Bookshelves,Read online (web)
"Graham's Magazine, Vol. XIX, No. 1, July 1841",Various,"Literature -- Periodicals ; AP ; Literature, Modern -- 19th century -- Periodicals",Browsing: Encyclopedias/Dictionaries/Reference; Browsing: Literature,https://www.gutenberg.org/ebooks/65155.html.images
"Punch, or the London Charivari, Vol. 146, June 17, 1914",Various,AP ; English wit and humor -- Periodicals,Punch; Browsing: Humour; Browsing: Literature,https://www.gutenberg.org/ebooks/24453.html.images
Ancient Ballads and Legends of Hindustan,"Dutt, Toru",Indic poetry (English) ; PR,Folklore; India; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/23245.html.images
The Cosmic Looters,"Hamilton, Edmond",Adventure stories ; Science fiction ; PS,Browsing: Science-Fiction & Fantasy; Browsing: Fiction,https://www.gutenberg.org/ebooks/65331.html.images
I Havsbandet,"Strindberg, August",PT ; Fishers -- Fiction ; Civil service -- Fiction ; Islands of the Baltic -- Fiction,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/48052.html.images
Indian Conjuring,"Branson, L. H. (Lionel Hugh)",Magic tricks ; GV,Browsing: Culture/Civilization/Society; Browsing: Other,https://www.gutenberg.org/ebooks/27353.html.images
The Story of a Calico Clown,"Hope, Laura Lee",Toys -- Juvenile fiction ; PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/5845.html.images
The Confessions of Jean Jacques Rousseau — Volume 03,"Rousseau, Jean-Jacques","PQ ; Authors, French -- 18th century -- Biography ; Rousseau, Jean-Jacques, 1712-1778",Browsing: Biographies; Browsing: Literature; Browsing: Philosophy & Ethics,https://www.gutenberg.org/ebooks/3903.html.images
Faiseurs de peines et faiseurs de joies,"Melegari, Dora",BJ ; Grief ; Joy,Browsing: Philosophy & Ethics; Browsing: Psychiatry/Psychology; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/68621.html.images
"The Works of George Berkeley. Vol. 1 of 4: Philosophical Works, 1705-21","Berkeley, George",B ; Philosophy -- Early works to 1800,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/39746.html.images
"The Life, Travels, and Literary Career of Bayard Taylor","Conwell, Russell H.","Taylor, Bayard, 1825-1878 ; PS",Browsing: Biographies; Browsing: Literature,https://www.gutenberg.org/ebooks/60585.html.images
Old Rose and Silver,"Reed, Myrtle",American fiction -- 20th century ; Man-woman relationships -- Fiction ; Musicians -- Fiction ; PS,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/5401.html.images
Rakkausuhri,"Jalkanen, Huugo",PH ; Finnish poetry -- 20th century,Browsing: Literature; Browsing: Poetry,https://www.gutenberg.org/ebooks/74202.html.images
"World's War Events, Vol. I",,"World War, 1914-1918 ; D501",World War I; Browsing: History - General; Browsing: History - Warfare,https://www.gutenberg.org/ebooks/25962.html.images
The New Army in Training,"Kipling, Rudyard","World War, 1914-1918 -- Great Britain ; Basic training (Military education) -- Great Britain -- History ; Great Britain. Army ; UA ; Great Britain. Army -- History -- World War, 1914-1918",Browsing: History - British; Browsing: History - Warfare,https://www.gutenberg.org/ebooks/53507.html.images
A Voyage with Captain Dynamite,"Rich, Charles Edward",Ship captains -- Juvenile fiction ; PZ ; Adventure stories ; Cuba -- Juvenile fiction ; Boys -- Juvenile fiction,Browsing: Children & Young Adult Reading; Browsing: Fiction,https://www.gutenberg.org/ebooks/25144.html.images
"Chile and Her People of To-day
An Account of the Customs, Characteristics, Amusements, History and Advancement of the Chileans, and the Development and Resources of Their Country","Winter, Nevin O. (Nevin Otto)","F3051 ; Chile ; National characteristics, Chilean",Browsing: Culture/Civilization/Society; Browsing: History - American; Browsing: Travel & Geography,https://www.gutenberg.org/ebooks/60438.html.images
History of the Decline and Fall of the Roman Empire — Volume 1,"Gibbon, Edward","Rome -- History -- Empire, 30 B.C.-476 A.D. ; DG ; Byzantine Empire -- History -- To 527",Browsing: History - European; Browsing: History - General,https://www.gutenberg.org/ebooks/890.html.images
Airiselän tukinajossa: Kuvaus Lapin rajoilta,"Kataja, Väinö",Finnish fiction -- 20th century ; PH,Browsing: Literature; Browsing: Fiction,https://www.gutenberg.org/ebooks/55043.html.images
Theism or Atheism: The Great Alternative,"Cohen, Chapman",BL ; Theism ; Atheism,Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal,https://www.gutenberg.org/ebooks/25291.html.images
"Commodore Barney's Young Spies
A Boy's Story of the Burning of the City of Washington","Otis, James","Washington (D.C.) -- History -- Capture by the British, 1814 -- Juvenile fiction ; PZ",Browsing: Children & Young Adult Reading; Browsing: History - American,https://www.gutenberg.org/ebooks/32678.html.images
